NCT Number,Study Title,Study Status,Conditions,Interventions,Sponsor,Age,Phases,Enrollment,Country,Start_year,Sponsor_type,trial_status_clean
NCT01363154,Prevention of Photoparoxysmal Abnormalities by Mozart K448,TERMINot SpecifiedTED,Photoparoxysmal Abnormalities|Epilepsy|Seizures,OTHER: Mozart K448|OTHER: Beethoven's FÃ¼r Elise|OTHER: No music exposure,Medical University of South CaroliNot Specified,CHILD,Not Specified,10,United States,2010,Academic,Other
NCT00639730,Use of the Atkins Diet for Children With Sturge Weber Syndrome,COMPLETED,Epilepsy|Sturge Weber Syndrome,DIETARY_SUPPLEMENT: modified Atkins diet,Johns Hopkins University,CHILD  ADULT,PHASE1,5,United States,2006,Academic,Completed
NCT04912856,An Open-Label Extension of the Study XEN496 (Ezogabine) in Children With KCNQ2-DEE,TERMINot SpecifiedTED,Epilepsy|Epilepsy in Children|Epilepsy; Seizure|Disease|Brain Diseases|Central Nervous System Diseases|Nervous System Diseases|Epileptic Syndromes,DRUG: XEN496,Xenon Pharmaceuticals Inc.,CHILD,PHASE3,8,United States,2021,Industry,Other
NCT03490487,Electroclinical Effect of Steroid in Patients With Benign Childhood Epilepsy With Centrotemporal Spikes,UNKNOWN,Benign Childhood Epilepsy With Centrotemporal Spikes,DRUG: conventioNot Specifiedl antiepileptic drugs|DRUG: oral steroid,Assiut University,CHILD,PHASE4,100,Egypt,2018,Academic,Other
NCT02324673,CanNot Specifiedbidiol Oral Solution in Pediatric Participants With Treatment-resistant Seizure Disorders,COMPLETED,Seizures,DRUG: CanNot Specifiedbidiol Oral Solution,INSYS Therapeutics Inc,CHILD,PHASE1/PHASE2,61,United States,2015,Industry,Completed
NCT02645279,Comparison of Oral 30 % Dextrose and iv Midazolam Sedation During MRI in NeoNot Specifiedtes,UNKNOWN,Epilepsy|Trauma|Metabolic Disease,OTHER: oral 30% glucose|DRUG: IV midazolam,Baskent University,CHILD,PHASE4,112,,2015,Academic,Other
NCT01982812,A Safety and Feasibility Study of Enteral LVT vs. Standard of Care for Seizure Control in Pediatric CM,COMPLETED,Seizure|Epilepsy|Cerebral Malaria,DRUG: Oral Levetiracetam|DRUG: Standard AED,University of Rochester,CHILD,PHASE2,44,Malawi,2014,Academic,Completed
NCT01660672,Enteral Levetiracetam For Seizure Control In Pediatric Cerebral Malaria,COMPLETED,Seizure|Epilepsy|Cerebral Malaria,DRUG: LEVETIRACETAM,University of Rochester,CHILD,PHASE1/PHASE2,7,Malawi,2013,Academic,Completed
NCT05825274,TDCs to Treat Drug-resistant Epilepsy,COMPLETED,Other Forms of Epilepsy  Treatment Resistant,DEVICE: Cathodal tDCS,Spanish Foundation for Neurometrics Development,CHILD,Not Specified,100,United Kingdom,2017,Government/Other,Completed
NCT03254680,Turmeric as Treatment in Epilepsy,WITHDRAWN,Epilepsy|Dravet Syndrome|Lennox-Gastaut Syndrome|Tuberous Sclerosis|Focal Seizures,DIETARY_SUPPLEMENT: Turmeric,NYU Langone Health,CHILD  ADULT  OLDER_ADULT,Not Specified,0,United States,2018,Government/Other,Other
NCT02098759,Long-term  Prospective Study Evaluating Clinical and Molecular Biomarkers of Epileptogenesis in a Genetic Model of Epilepsy - Tuberous Sclerosis Complex,UNKNOWN,TSC|Tuberous Sclerosis Complex|Epilepsy,DEVICE: epilepsy early diagnosis protocol,Sergiusz Jozwiak,CHILD,Not Specified,100,Austria,2013,Government/Other,Other
NCT03513757,Dexmedetomidine and Propofol for Pediatric MRI Sedation,COMPLETED,Headache|Tumor|Seizure Disorder|Neurofibromatoses|Hydrocephalus|AbdomiNot Specifiedl Neoplasm|Spine Deformity,DRUG: propofol|DRUG: Dexmedetomidine|DRUG: Glycopyrrolate|DRUG: Lidocaine 1% Injectable Solution|DRUG: Nitrous Oxide|DRUG: Sevoflurane,Medical College of Wisconsin,CHILD,PHASE4,40,United States,2018,Government/Other,Completed
